uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
22,CCc1cc(C(=O)[O-])cc(CC)c1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,CCc1cc(CC)cc(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,12,19,55.66385193302381,22,True
33,COC(C#CC(=O)O)=CC#CC(=O)[O-],C#CC(=O)O.C#CC(=O)[O-],C=COC,4,9,2.856679049361494,33,True
0,Nc1cnc(N)c(N)c1-c1nnc(-c2c(N)cnc(N)c2N)nn1,Nc1cnc(N)c(N)c1.Nc1cnc(N)c(N)c1,c1nncnn1,8,17,65.21463520101845,0,True
4,FC(=Cc1cc(F)nc(F)c1)c1ccncc1,Fc1cccc(F)n1.c1ccncc1,C=CF,3,10,33.714045160311976,4,True
13,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,13,True
31,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)cc1,7,18,58.424147903832605,31,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])cc3F)cc2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.07978225437908,0,True
28,Fc1cc(-c2nnc(-c3c(F)cncc3F)nn2)c(F)cn1,Fc1ccc(F)nc1.Fc1cncc(F)c1,c1nncnn1,3,15,40.4518009453979,28,True
32,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)c(F)c1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1F,c1nncnn1,7,18,49.03557264370377,32,True
42,Fc1cc(-c2ccc(-c3ccnc(F)c3F)cc2F)c(F)c(F)n1,Fc1ccc(F)c(F)n1.Fc1cccnc1F,Fc1ccccc1,3,14,48.256077028544695,42,True
0,CCc1cc(C(=O)[O-])c(CC)c(CC)c1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,CCc1cc(CC)c(CC)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,14,21,69.33449369597339,0,True
13,CCc1cc(-c2nnc(-c3c(CC)cc(C(=O)[O-])c(CC)c3CC)nn2)c(CC)cc1C(=O)[O-],CCc1cc(CC)c(CC)c(C(=O)[O-])c1.CCc1ccc(CC)c(C(=O)[O-])c1,c1nncnn1,14,19,85.10070504805158,13,True
30,O=C([O-])c1cc(F)c(-c2c(F)c(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cc(F)cc(F)c1F,Fc1cc(F)c(F)cc1F,7,19,58.70863027901029,30,True
40,O=C([O-])c1cc(Cl)c(-c2cc(Cl)c(-c3c(Cl)c(Cl)c(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2)c(Cl)c1,O=C([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl.O=C([O-])c1cc(Cl)cc(Cl)c1,Clc1cccc(Cl)c1,8,20,69.68703114052731,40,True
0,O=C([O-])c1ccc(-c2nnc(-c3cc(Cl)c(C(=O)[O-])cc3Cl)nn2)c(Cl)c1,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1,c1nncnn1,7,17,54.187778250238296,0,True
7,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,3,17,55.62431786195225,7,True
14,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2)cc1,O=C([O-])c1cccc(Cl)c1Cl.O=C([O-])c1ccccc1,Clc1ccccc1,6,17,60.11974161237441,14,True
25,CCc1cnc(CC)c(CC)c1-c1nnc(-c2c(CC)cnc(CC)c2CC)nn1,CCc1cnc(CC)c(CC)c1.CCc1cnc(CC)c(CC)c1,c1nncnn1,11,23,72.03776700110352,25,True
0,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918,0,True
6,N#Cc1cc(C(=O)[O-])c(C#N)c(C#N)c1-c1nnc(-c2ccc(C(=O)[O-])c(C#N)c2C#N)nn1,N#Cc1cc(C#N)c(C#N)c(C(=O)[O-])c1.N#Cc1cccc(C(=O)[O-])c1C#N,c1nncnn1,9,27,67.11926597907816,6,True
19,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,19,True
